[2025-01-22 12:06:05] Phy.Mem.Total, Pht.Mem.Aval, Commit.Charge.Current, Com.Cha.Limit, Commit.Charge.Peek, drengsrv.exe
[2025-01-22 12:06:05] 15711MB,4275MB,17612156KB,26050136KB,20487140KB,15MB
[2025-01-22 12:06:05] 15711MB,4269MB,17616260KB,26050136KB,20487140KB,15MB
[2025-01-22 12:06:06] 15711MB,4255MB,17644876KB,26050136KB,20487140KB,20MB
[2025-01-22 12:06:06] 15711MB,4239MB,17654108KB,26050136KB,20487140KB,20MB
[2025-01-22 12:06:06] 15711MB,4247MB,17646048KB,26050136KB,20487140KB,20MB
[2025-01-22 12:06:07] 15711MB,4258MB,17628160KB,26050136KB,20487140KB,20MB
[2025-01-22 12:06:07] 15711MB,4254MB,17640320KB,26050136KB,20487140KB,20MB
[2025-01-22 12:06:07] 15711MB,4244MB,17654960KB,26050136KB,20487140KB,20MB
[2025-01-22 12:06:08] 15711MB,4227MB,17681836KB,26050136KB,20487140KB,21MB
[2025-01-22 12:06:08] 15711MB,4255MB,17686916KB,26050136KB,20487140KB,21MB
[2025-01-22 12:06:08] 15711MB,4263MB,17675676KB,26050136KB,20487140KB,21MB
[2025-01-22 12:06:09] 15711MB,4260MB,17661692KB,26050136KB,20487140KB,21MB
[2025-01-22 12:06:09] 15711MB,4245MB,17661704KB,26050136KB,20487140KB,21MB
[2025-01-22 12:06:09] 15711MB,4248MB,17662224KB,26050136KB,20487140KB,21MB
[2025-01-22 12:06:10] 15711MB,4254MB,17660748KB,26050136KB,20487140KB,21MB
[2025-01-22 12:06:10] 15711MB,4242MB,17679244KB,26050136KB,20487140KB,40MB
[2025-01-22 12:06:10] 15711MB,4263MB,17678892KB,26050136KB,20487140KB,44MB
[2025-01-22 12:06:11] 15711MB,4263MB,17685520KB,26050136KB,20487140KB,51MB
[2025-01-22 12:06:11] 15711MB,4217MB,17726688KB,26050136KB,20487140KB,55MB
[2025-01-22 12:06:11] 15711MB,4148MB,17789260KB,26050136KB,20487140KB,69MB
[2025-01-22 12:06:12] 15711MB,4199MB,17730516KB,26050136KB,20487140KB,76MB
[2025-01-22 12:06:12] 15711MB,4204MB,17732136KB,26050136KB,20487140KB,76MB
[2025-01-22 12:06:12] 15711MB,4201MB,17732492KB,26050136KB,20487140KB,77MB
[2025-01-22 12:06:13] 15711MB,4218MB,17731036KB,26050136KB,20487140KB,78MB
[2025-01-22 12:06:13] 15711MB,4215MB,17733128KB,26050136KB,20487140KB,79MB
[2025-01-22 12:06:13] 15711MB,4211MB,17736732KB,26050136KB,20487140KB,81MB
[2025-01-22 12:06:14] 15711MB,4205MB,17739408KB,26050136KB,20487140KB,84MB
[2025-01-22 12:06:14] 15711MB,4220MB,17724580KB,26050136KB,20487140KB,86MB
[2025-01-22 12:06:14] 15711MB,4211MB,17731536KB,26050136KB,20487140KB,92MB
[2025-01-22 12:06:15] 15711MB,4211MB,17728960KB,26050136KB,20487140KB,94MB
[2025-01-22 12:06:15] 15711MB,4202MB,17739076KB,26050136KB,20487140KB,102MB
[2025-01-22 12:06:15] 15711MB,4198MB,17743040KB,26050136KB,20487140KB,105MB
[2025-01-22 12:06:16] 15711MB,4198MB,17743292KB,26050136KB,20487140KB,109MB
[2025-01-22 12:06:16] 15711MB,4199MB,17743420KB,26050136KB,20487140KB,110MB
[2025-01-22 12:06:16] 15711MB,4204MB,17718248KB,26050136KB,20487140KB,117MB
[2025-01-22 12:06:17] 15711MB,4199MB,17735836KB,26050136KB,20487140KB,129MB
[2025-01-22 12:06:17] 15711MB,4193MB,17744592KB,26050136KB,20487140KB,132MB
[2025-01-22 12:06:17] 15711MB,4199MB,17741200KB,26050136KB,20487140KB,137MB
[2025-01-22 12:06:18] 15711MB,4192MB,17748524KB,26050136KB,20487140KB,142MB
[2025-01-22 12:06:18] 15711MB,4190MB,17750832KB,26050136KB,20487140KB,145MB
[2025-01-22 12:06:18] 15711MB,4189MB,17753140KB,26050136KB,20487140KB,147MB
[2025-01-22 12:06:19] 15711MB,4180MB,17759476KB,26050136KB,20487140KB,153MB
[2025-01-22 12:06:19] 15711MB,4170MB,17769104KB,26050136KB,20487140KB,160MB
[2025-01-22 12:06:19] 15711MB,4168MB,17771536KB,26050136KB,20487140KB,169MB
[2025-01-22 12:06:20] 15711MB,4156MB,17779556KB,26050136KB,20487140KB,176MB
[2025-01-22 12:06:20] 15711MB,4143MB,17792936KB,26050136KB,20487140KB,187MB
[2025-01-22 12:06:20] 15711MB,4128MB,17811504KB,26050136KB,20487140KB,202MB
[2025-01-22 12:06:21] 15711MB,4111MB,17836448KB,26050136KB,20487140KB,211MB
[2025-01-22 12:06:21] 15711MB,4106MB,17838940KB,26050136KB,20487140KB,216MB
[2025-01-22 12:06:21] 15711MB,4099MB,17852952KB,26050136KB,20487140KB,218MB
[2025-01-22 12:06:22] 15711MB,4087MB,17863484KB,26050136KB,20487140KB,232MB
[2025-01-22 12:06:22] 15711MB,4073MB,17878016KB,26050136KB,20487140KB,249MB
[2025-01-22 12:06:22] 15711MB,4064MB,17884600KB,26050136KB,20487140KB,254MB
[2025-01-22 12:06:23] 15711MB,4057MB,17896404KB,26050136KB,20487140KB,266MB
[2025-01-22 12:06:23] 15711MB,4044MB,17909972KB,26050136KB,20487140KB,272MB
[2025-01-22 12:06:23] 15711MB,4044MB,17914052KB,26050136KB,20487140KB,275MB
[2025-01-22 12:06:24] 15711MB,4038MB,17917888KB,26050136KB,20487140KB,278MB
[2025-01-22 12:06:24] 15711MB,4039MB,17865212KB,26050136KB,20487140KB,284MB
[2025-01-22 12:06:25] 15711MB,4010MB,17933696KB,26050136KB,20487140KB,297MB
[2025-01-22 12:06:25] 15711MB,3947MB,17986836KB,26050136KB,20487140KB,303MB
[2025-01-22 12:06:25] 15711MB,3941MB,18008228KB,26050136KB,20487140KB,310MB
[2025-01-22 12:06:26] 15711MB,3933MB,18016284KB,26050136KB,20487140KB,320MB
[2025-01-22 12:06:26] 15711MB,3934MB,18020444KB,26050136KB,20487140KB,323MB
[2025-01-22 12:06:26] 15711MB,3931MB,18021236KB,26050136KB,20487140KB,328MB
[2025-01-22 12:06:27] 15711MB,3918MB,18034232KB,26050136KB,20487140KB,342MB
[2025-01-22 12:06:27] 15711MB,3907MB,18038244KB,26050136KB,20487140KB,349MB
[2025-01-22 12:06:27] 15711MB,3917MB,18032060KB,26050136KB,20487140KB,354MB
[2025-01-22 12:06:28] 15711MB,3913MB,18034300KB,26050136KB,20487140KB,355MB
[2025-01-22 12:06:28] 15711MB,3914MB,18032404KB,26050136KB,20487140KB,356MB
[2025-01-22 12:06:28] 15711MB,3913MB,18032992KB,26050136KB,20487140KB,359MB
[2025-01-22 12:06:29] 15711MB,3909MB,18037688KB,26050136KB,20487140KB,361MB
[2025-01-22 12:06:29] 15711MB,3910MB,18037664KB,26050136KB,20487140KB,363MB
[2025-01-22 12:06:29] 15711MB,3904MB,18046020KB,26050136KB,20487140KB,366MB
[2025-01-22 12:06:30] 15711MB,3895MB,18045564KB,26050136KB,20487140KB,370MB
[2025-01-22 12:06:30] 15711MB,3887MB,18054984KB,26050136KB,20487140KB,373MB
[2025-01-22 12:06:30] 15711MB,3884MB,18056716KB,26050136KB,20487140KB,378MB
[2025-01-22 12:06:31] 15711MB,3899MB,18047628KB,26050136KB,20487140KB,384MB
[2025-01-22 12:06:31] 15711MB,3895MB,18052636KB,26050136KB,20487140KB,391MB
[2025-01-22 12:06:31] 15711MB,3888MB,18055800KB,26050136KB,20487140KB,396MB
[2025-01-22 12:06:32] 15711MB,3884MB,18066628KB,26050136KB,20487140KB,400MB
[2025-01-22 12:06:32] 15711MB,3881MB,18067184KB,26050136KB,20487140KB,402MB
[2025-01-22 12:06:32] 15711MB,3882MB,18057124KB,26050136KB,20487140KB,405MB
[2025-01-22 12:06:33] 15711MB,3880MB,18062504KB,26050136KB,20487140KB,410MB
[2025-01-22 12:06:33] 15711MB,3872MB,18067096KB,26050136KB,20487140KB,415MB
[2025-01-22 12:06:33] 15711MB,3864MB,18068028KB,26050136KB,20487140KB,424MB
[2025-01-22 12:06:34] 15711MB,3865MB,18068164KB,26050136KB,20487140KB,427MB
[2025-01-22 12:06:34] 15711MB,3859MB,18073676KB,26050136KB,20487140KB,430MB
[2025-01-22 12:06:34] 15711MB,3830MB,18088300KB,26050136KB,20487140KB,439MB
[2025-01-22 12:06:35] 15711MB,3821MB,18093856KB,26050136KB,20487140KB,451MB
[2025-01-22 12:06:35] 15711MB,3805MB,18110376KB,26050136KB,20487140KB,462MB
[2025-01-22 12:06:35] 15711MB,3806MB,18112904KB,26050136KB,20487140KB,467MB
[2025-01-22 12:06:36] 15711MB,3799MB,18117916KB,26050136KB,20487140KB,471MB
[2025-01-22 12:06:36] 15711MB,3788MB,18128052KB,26050136KB,20487140KB,476MB
[2025-01-22 12:06:36] 15711MB,3813MB,18086480KB,26050136KB,20487140KB,478MB
[2025-01-22 12:06:37] 15711MB,3817MB,18072096KB,26050136KB,20487140KB,484MB
[2025-01-22 12:06:37] 15711MB,3815MB,18082708KB,26050136KB,20487140KB,501MB
[2025-01-22 12:06:37] 15711MB,3801MB,18105908KB,26050136KB,20487140KB,522MB
[2025-01-22 12:06:38] 15711MB,3786MB,18120900KB,26050136KB,20487140KB,535MB
[2025-01-22 12:06:38] 15711MB,3778MB,18127464KB,26050136KB,20487140KB,541MB
[2025-01-22 12:06:38] 15711MB,3774MB,18130436KB,26050136KB,20487140KB,543MB
[2025-01-22 12:06:39] Phy.Mem.Total, Pht.Mem.Aval, Commit.Charge.Current, Com.Cha.Limit, Commit.Charge.Peek, drengsrv.exe
[2025-01-22 12:06:39] 15711MB,3770MB,18130908KB,26050136KB,20487140KB,544MB
[2025-01-22 12:06:39] 15711MB,3765MB,18132800KB,26050136KB,20487140KB,544MB
[2025-01-22 12:06:39] 15711MB,3763MB,18132116KB,26050136KB,20487140KB,545MB
[2025-01-22 12:06:40] 15711MB,3759MB,18133644KB,26050136KB,20487140KB,546MB
[2025-01-22 12:06:40] 15711MB,3764MB,18136456KB,26050136KB,20487140KB,547MB
[2025-01-22 12:06:40] 15711MB,3762MB,18138988KB,26050136KB,20487140KB,548MB
[2025-01-22 12:06:41] 15711MB,3760MB,18139796KB,26050136KB,20487140KB,551MB
[2025-01-22 12:06:41] 15711MB,3758MB,18137752KB,26050136KB,20487140KB,554MB
[2025-01-22 12:06:41] 15711MB,3756MB,18145428KB,26050136KB,20487140KB,556MB
[2025-01-22 12:06:42] 15711MB,3753MB,18148568KB,26050136KB,20487140KB,559MB
[2025-01-22 12:06:42] 15711MB,3751MB,18149484KB,26050136KB,20487140KB,563MB
[2025-01-22 12:06:42] 15711MB,3751MB,18147932KB,26050136KB,20487140KB,568MB
[2025-01-22 12:06:43] 15711MB,3743MB,18156272KB,26050136KB,20487140KB,572MB
[2025-01-22 12:06:43] 15711MB,3738MB,18161436KB,26050136KB,20487140KB,576MB
[2025-01-22 12:06:43] 15711MB,3739MB,18161484KB,26050136KB,20487140KB,580MB
[2025-01-22 12:06:44] 15711MB,3731MB,18170476KB,26050136KB,20487140KB,585MB
[2025-01-22 12:06:44] 15711MB,3726MB,18175108KB,26050136KB,20487140KB,589MB
[2025-01-22 12:06:44] 15711MB,3726MB,18174700KB,26050136KB,20487140KB,593MB
[2025-01-22 12:06:45] 15711MB,3720MB,18180188KB,26050136KB,20487140KB,595MB
[2025-01-22 12:06:45] 15711MB,3717MB,18184256KB,26050136KB,20487140KB,599MB
[2025-01-22 12:06:45] 15711MB,3713MB,18188292KB,26050136KB,20487140KB,602MB
[2025-01-22 12:06:46] 15711MB,3710MB,18191564KB,26050136KB,20487140KB,605MB
[2025-01-22 12:06:46] 15711MB,3706MB,18195512KB,26050136KB,20487140KB,608MB
[2025-01-22 12:06:46] 15711MB,3711MB,18199712KB,26050136KB,20487140KB,613MB
[2025-01-22 12:06:47] 15711MB,3708MB,18200384KB,26050136KB,20487140KB,613MB
[2025-01-22 12:06:47] 15711MB,3709MB,18196788KB,26050136KB,20487140KB,613MB
[2025-01-22 12:06:47] 15711MB,3710MB,18190724KB,26050136KB,20487140KB,613MB
[2025-01-22 12:06:48] 15711MB,3718MB,18213240KB,26050136KB,20487140KB,630MB
[2025-01-22 12:06:48] 15711MB,3711MB,18222908KB,26050136KB,20487140KB,630MB
[2025-01-22 12:06:48] 15711MB,3714MB,18219716KB,26050136KB,20487140KB,630MB
[2025-01-22 12:06:49] 15711MB,3717MB,18220712KB,26050136KB,20487140KB,630MB
[2025-01-22 12:06:49] 15711MB,3713MB,18220244KB,26050136KB,20487140KB,631MB
[2025-01-22 12:06:49] 15711MB,3709MB,18227032KB,26050136KB,20487140KB,631MB
[2025-01-22 12:06:50] 15711MB,3713MB,18223136KB,26050136KB,20487140KB,631MB
[2025-01-22 12:06:50] 15711MB,3713MB,18223244KB,26050136KB,20487140KB,631MB
[2025-01-22 12:06:50] 15711MB,3716MB,18217848KB,26050136KB,20487140KB,631MB
[2025-01-22 12:06:51] 15711MB,3713MB,18221200KB,26050136KB,20487140KB,631MB
[2025-01-22 12:06:51] 15711MB,3713MB,18221104KB,26050136KB,20487140KB,631MB
[2025-01-22 12:06:51] 15711MB,3713MB,18222540KB,26050136KB,20487140KB,631MB
[2025-01-22 12:06:52] 15711MB,3713MB,18223288KB,26050136KB,20487140KB,631MB
[2025-01-22 12:06:52] 15711MB,3714MB,18223748KB,26050136KB,20487140KB,631MB
[2025-01-22 12:06:52] 15711MB,3710MB,18226268KB,26050136KB,20487140KB,635MB
[2025-01-22 12:06:53] 15711MB,3713MB,18226452KB,26050136KB,20487140KB,635MB
[2025-01-22 12:06:53] 15711MB,3691MB,18250896KB,26050136KB,20487140KB,635MB
[2025-01-22 12:06:53] 15711MB,3664MB,18278816KB,26050136KB,20487140KB,657MB
[2025-01-22 12:06:54] 15711MB,3665MB,18280184KB,26050136KB,20487140KB,657MB
[2025-01-22 12:06:54] 15711MB,3649MB,18268508KB,26050136KB,20487140KB,657MB
[2025-01-22 12:06:54] 15711MB,3649MB,18283568KB,26050136KB,20487140KB,657MB
[2025-01-22 12:06:55] 15711MB,3628MB,18326664KB,26050136KB,20487140KB,657MB
[2025-01-22 12:06:55] 15711MB,3628MB,18327760KB,26050136KB,20487140KB,658MB
[2025-01-22 12:06:55] 15711MB,3631MB,18320912KB,26050136KB,20487140KB,661MB
